ingredient,chinese_name,category,function,concern,risk_level,groups,advice,source
fragrance,香精,香精類,增加氣味,可能造成過敏或刺激,中,"敏感肌;過敏體質;兒童","若有過敏史，可優先選擇無香精產品","FDA Allergens in Cosmetics"
parfum,香精,香精類,增加氣味,可能造成過敏或刺激,中,"敏感肌;過敏體質;兒童","若有過敏史，可優先選擇無香精產品","FDA Allergens in Cosmetics"
alcohol denat.,變性酒精,酒精/溶劑,幫助揮發與改善清爽感,可能造成乾燥或刺痛,中,"敏感肌;乾性肌","若使用後刺痛或乾燥，建議降低使用頻率","CosIng"
ethanol,乙醇,酒精/溶劑,溶劑與揮發成分,可能造成乾燥或刺激,中,"敏感肌;乾性肌","避免在皮膚屏障受損時頻繁使用","CosIng"
phenoxyethanol,苯氧乙醇,防腐劑,抑制微生物生長,需依限量使用，部分族群可能刺激,低-中,"敏感肌;兒童","注意產品種類與使用頻率","TFDA 防腐劑使用限制表"
methylparaben,對羥基苯甲酸甲酯,防腐劑,抑制微生物生長,合法限量下可使用但有社會疑慮,低-中,"敏感肌","避免過度恐慌，重點在濃度與使用情境","TFDA/CIR"
propylparaben,對羥基苯甲酸丙酯,防腐劑,抑制微生物生長,合法限量下可使用但有社會疑慮,低-中,"敏感肌","避免過度恐慌，重點在濃度與使用情境","TFDA/CIR"
methylisothiazolinone,甲基異噻唑啉酮,防腐劑,抑制微生物生長,可能造成接觸性過敏,中-高,"敏感肌;過敏體質","若有接觸性皮膚炎病史需特別注意","TFDA/FDA"
salicylic acid,水楊酸,酸類/角質調理,角質調理與粉刺管理,過度使用可能造成刺激或脫皮,中,"敏感肌;孕婦;青少年","避免與多種酸類產品疊加使用","CosIng/CIR"
glycolic acid,甘醇酸,酸類/角質調理,角質代謝與煥膚,過度使用可能造成刺痛與屏障受損,中,"敏感肌;初次使用者","初次使用建議降低頻率並觀察皮膚反應","CIR"
lactic acid,乳酸,酸類/角質調理,角質調理與保濕,高頻率使用可能刺激,中,"敏感肌;初次使用者","避免與其他酸類過度疊加","CIR"
retinol,視黃醇,A醇類,調理肌膚與抗老,可能造成刺激，孕婦需保守評估,中-高,"孕婦;敏感肌","孕婦或備孕者建議避免自行使用高濃度產品","CIR"
titanium dioxide,二氧化鈦,防曬/色料,物理性防曬與色料,粉末吸入或特殊用途需注意,低-中,"敏感肌;兒童","一般防曬用途可作為低刺激選項之一","CosIng"
zinc oxide,氧化鋅,防曬/舒緩,物理性防曬與舒緩,一般使用風險較低,低,"敏感肌;兒童","常見於物理性防曬產品","CosIng"
octocrylene,奧克立林,防曬劑,吸收紫外線,部分族群可能眼周刺激或過敏,中,"敏感肌;過敏體質","避免接近眼周或觀察是否刺激","CosIng/CIR"
avobenzone,阿伏苯宗,防曬劑,吸收 UVA,部分族群可能刺激,中,"敏感肌","若眼周刺痛可改用其他防曬類型","CosIng"
sodium lauryl sulfate,月桂基硫酸鈉,界面活性劑,清潔與起泡,清潔力較強可能造成乾燥刺激,中,"敏感肌;乾性肌","乾敏肌可選擇較溫和清潔產品","CIR"
sodium laureth sulfate,月桂醇聚醚硫酸酯鈉,界面活性劑,清潔與起泡,可能造成乾燥或刺激,中,"敏感肌;乾性肌","注意清潔後是否緊繃","CIR"
limonene,檸檬烯,香精過敏原,增加氣味,氧化後可能增加致敏風險,中,"敏感肌;過敏體質","香精過敏者需注意","FDA Allergens in Cosmetics"
linalool,芳樟醇,香精過敏原,增加氣味,可能造成過敏或刺激,中,"敏感肌;過敏體質","香精過敏者需注意","FDA Allergens in Cosmetics"